,Unnamed: 0,TIME_PERIOD,reporter,product,PRODQNT,PRODVAL
8569,8569,2013,CY,20141450,0.0,0.0
8570,8570,2013,CY,20141470,0.0,0.0
8571,8571,2013,CY,20141490,0.0,0.0
8572,8572,2013,CY,20141910,0.0,0.0
8573,8573,2013,CY,20141930,0.0,0.0
8574,8574,2013,CY,20141950,0.0,0.0
8575,8575,2013,CY,20141970,0.0,0.0
8577,8577,2013,CY,20142210,0.0,0.0
8578,8578,2013,CY,20142220,0.0,0.0
8579,8579,2013,CY,20142230,0.0,0.0
8580,8580,2013,CY,20142240,0.0,0.0
8581,8581,2013,CY,20142263,0.0,0.0
8582,8582,2013,CY,20142265,0.0,0.0
8583,8583,2013,CY,20142270,0.0,0.0
8584,8584,2013,CY,20142310,0.0,0.0
8585,8585,2013,CY,20142320,0.0,0.0
8586,8586,2013,CY,20142333,0.0,0.0
8587,8587,2013,CY,20142339,0.0,0.0
8588,8588,2013,CY,20142350,0.0,0.0
8589,8589,2013,CY,20142360,0.0,0.0
8590,8590,2013,CY,20142373,0.0,0.0
8591,8591,2013,CY,20142375,0.0,0.0
8592,8592,2013,CY,20142410,0.0,0.0
8593,8593,2013,CY,20142433,0.0,0.0
8594,8594,2013,CY,20142439,0.0,0.0
8595,8595,2013,CY,20142450,0.0,0.0
8601,8601,2013,CY,20143215,0.0,0.0
8602,8602,2013,CY,20143219,0.0,0.0
8603,8603,2013,CY,20143220,0.0,0.0
8604,8604,2013,CY,20143235,0.0,0.0
8605,8605,2013,CY,20143250,0.0,0.0
8606,8606,2013,CY,20143271,0.0,0.0
8607,8607,2013,CY,20143277,0.0,0.0
8608,8608,2013,CY,20143278,0.0,0.0
8609,8609,2013,CY,20143280,0.0,0.0
8610,8610,2013,CY,20143310,0.0,0.0
8611,8611,2013,CY,20143320,0.0,0.0
8612,8612,2013,CY,20143330,0.0,0.0
8613,8613,2013,CY,20143340,0.0,0.0
8614,8614,2013,CY,20143350,0.0,0.0
8615,8615,2013,CY,20143363,0.0,0.0
8616,8616,2013,CY,20143365,0.0,0.0
8617,8617,2013,CY,20143367,0.0,0.0
8618,8618,2013,CY,20143370,0.0,0.0
8619,8619,2013,CY,20143383,0.0,0.0
8620,8620,2013,CY,20143385,0.0,0.0
8621,8621,2013,CY,20143387,0.0,0.0
8622,8622,2013,CY,20143410,0.0,0.0
8623,8623,2013,CY,20143420,0.0,0.0
8624,8624,2013,CY,20143430,0.0,0.0
8625,8625,2013,CY,20143440,0.0,0.0
8626,8626,2013,CY,20143473,0.0,0.0
8627,8627,2013,CY,20143475,0.0,0.0
8629,8629,2013,CY,20144113,0.0,0.0
8630,8630,2013,CY,20144119,0.0,0.0
8631,8631,2013,CY,20144123,0.0,0.0
8632,8632,2013,CY,20144129,0.0,0.0
8633,8633,2013,CY,20144130,0.0,0.0
8634,8634,2013,CY,20144151,0.0,0.0
8635,8635,2013,CY,20144153,0.0,0.0
8636,8636,2013,CY,20144159,0.0,0.0
8637,8637,2013,CY,20144170,0.0,0.0
8638,8638,2013,CY,20144233,0.0,0.0
8639,8639,2013,CY,20144235,0.0,0.0
8640,8640,2013,CY,20144237,0.0,0.0
8641,8641,2013,CY,20144239,0.0,0.0
8642,8642,2013,CY,20144290,0.0,0.0
8643,8643,2013,CY,20144310,0.0,0.0
8644,8644,2013,CY,20144320,0.0,0.0
8645,8645,2013,CY,20144330,0.0,0.0
8646,8646,2013,CY,20144340,0.0,0.0
8647,8647,2013,CY,20144350,0.0,0.0
8648,8648,2013,CY,20144360,0.0,0.0
8649,8649,2013,CY,20144370,0.0,0.0
8650,8650,2013,CY,20144420,0.0,0.0
8651,8651,2013,CY,20144430,0.0,0.0
8652,8652,2013,CY,20144450,0.0,0.0
8653,8653,2013,CY,20144490,0.0,0.0
8654,8654,2013,CY,20145133,0.0,0.0
8655,8655,2013,CY,20145139,0.0,0.0
8656,8656,2013,CY,20145150,0.0,0.0
8657,8657,2013,CY,20145215,0.0,0.0
8658,8658,2013,CY,20145225,0.0,0.0
8659,8659,2013,CY,20145230,0.0,0.0
8660,8660,2013,CY,20145260,0.0,0.0
8661,8661,2013,CY,20145280,0.0,0.0
8662,8662,2013,CY,20145290,0.0,0.0
8663,8663,2013,CY,20145350,0.0,0.0
8664,8664,2013,CY,20145380,0.0,0.0
8665,8665,2013,CY,20146111,0.0,0.0
8666,8666,2013,CY,20146113,0.0,0.0
8667,8667,2013,CY,20146115,0.0,0.0
8669,8669,2013,CY,20146120,0.0,0.0
8670,8670,2013,CY,20146135,0.0,0.0
8671,8671,2013,CY,20146150,0.0,0.0
8672,8672,2013,CY,20146160,0.0,0.0
8673,8673,2013,CY,20146170,0.0,0.0
8675,8675,2013,CY,20146211,0.0,0.0
8676,8676,2013,CY,20146213,0.0,0.0
8677,8677,2013,CY,20146215,0.0,0.0
8678,8678,2013,CY,20146219,0.0,0.0
8679,8679,2013,CY,20146231,0.0,0.0
8680,8680,2013,CY,20146233,0.0,0.0
8681,8681,2013,CY,20146235,0.0,0.0
8683,8683,2013,CY,20146260,0.0,0.0
8684,8684,2013,CY,20146270,0.0,0.0
8686,8686,2013,CY,20146310,0.0,0.0
8687,8687,2013,CY,20146323,0.0,0.0
8688,8688,2013,CY,20146325,0.0,0.0
8689,8689,2013,CY,20146333,0.0,0.0
